year,exact_year,quarter,dept,dept_code,number,code,section,title,type,instructor,A,B,C,D,F,P,NP,W,avg_gpa
2021-22,0,Summer,0,0,0,24130,A,NEW MEDIA & DIGITAL,LEC,"DONAHEY, K.",46,2,0,0,2,3,0,0,3.74
2021-22,0,Summer,0,0,0,24140,A,SILENT ERA,LEC,"MARZOLA, L.",14,8,3,0,0,0,0,0,3.36
2021-22,0,Summer,0,0,0,24150,A,CONTEMPORARY ERA,LEC,"WONG, K.",15,19,1,1,1,0,0,0,3.24
2021-22,0,Summer,0,0,0,24160,A,ASIANAM FILM&VIDEO,LEC,"SHROFF, B.",27,3,0,0,0,1,0,0,3.89
2021-22,0,Summer,0,0,0,24170,A,WRITING ON FILM&MDA,LEC,"KRAPP, P.",5,8,7,1,0,3,0,0,2.77
2021-22,0,Summer,0,0,0,24810,A,INTENSV FUND FRENCH,LEC,"MOURAD, G.",13,2,0,0,1,3,0,0,3.66
2021-22,0,Summer,0,0,0,24820,A,INTENSV FUND FRENCH,LEC,"SALADIN, L.",13,2,0,0,0,3,0,0,3.79
2021-22,0,Summer,0,0,0,24830,A,INTERMEDIATE,LEC,"KLEIN, L.",9,6,3,0,0,2,1,0,3.4
2021-22,0,Summer,0,0,0,24840,A,INTERMEDIATE,LEC,"MIJALSKI, M.",16,5,0,0,0,0,0,0,3.69
2021-22,0,Summer,0,0,0,25010,A,INTRO QUEER STUDIES,LEC,"BUSTILLO, D.",52,9,0,0,1,3,1,0,3.71
2021-22,0,Summer,0,0,0,25020,A,GENDER & FEMINISM,LEC,"SLATTERY, J.",42,6,0,0,0,6,0,0,3.86
2021-22,0,Summer,0,0,0,25030,A,GENDER AND POWER,LEC,"GONZALES, I.",26,2,1,0,2,3,1,0,3.53
2021-22,0,Summer,0,0,0,25040,A,GNDR&POPULAR CULTR,LEC,"CHING, K.",25,8,1,0,1,2,0,0,3.56
2021-22,0,Summer,0,0,0,26510,A,HISTORY OF SOCCER,LEC,"HUMPHREY, O.",23,4,2,0,1,2,1,0,3.57
2021-22,0,Summer,0,0,0,26520,B,MAO TO NOW,LEC,"SPIVEY, B.",12,3,0,0,0,0,0,0,3.74
2021-22,0,Summer,0,0,0,26530,A,HISTORY SEX IN US,LEC,"ACHEE, A.",11,6,2,1,0,2,0,0,3.4
2021-22,0,Summer,0,0,0,26540,A,WORLD RELIGIONS I,LEC,"MCKENNA, J.",10,3,0,0,0,2,0,0,3.79
2021-22,0,Summer,0,0,0,26550,A,WORLD:EMPIRE&REVOLT,LEC,"ALAHVERDIAN, A.",17,5,1,0,0,3,0,0,3.6
2021-22,0,Summer,0,0,0,26570,A,WORLD: WAR & NATION,LEC,"LANDE, S.",16,4,3,0,2,3,1,0,3.2
2021-22,0,Summer,0,0,0,26590,A,COL AM:NEW WORLDS,LEC,"SPEARE, M.",55,4,0,0,0,14,0,0,3.94
2021-22,0,Summer,0,0,0,26600,A,19C US:CRISIS&EXPAN,LEC,"MILLWARD, J.",48,13,1,0,0,44,0,0,3.75
2021-22,0,Summer,0,0,0,26610,A,MOD AM CLTR&POWER,LEC,"CALAHANE, K.",49,4,0,1,0,24,0,0,3.86
2021-22,0,Summer,0,0,0,26620,B,MOD AM CLTR&POWER,LEC,"GORDON, BETTENCOURT.",66,11,1,0,1,30,2,0,3.79
2021-22,0,Summer,0,0,0,26630,A,MAKING MDRN SCIENCE,LEC,"MESKHIDZE, E.",35,8,1,1,1,0,2,0,3.61
2021-22,0,Summer,0,0,0,26650,B,MODERN EAST ASIA,LEC,"DAVID, K.",6,3,0,0,1,0,0,0,3.24
2021-22,0,Summer,0,0,0,26660,A,LAT AM REBELLIONS,LEC,"LANDE, S.",9,5,0,0,4,1,0,0,2.85
2021-22,0,Summer,0,0,0,27610,A,FRKY CRAZY STRANGE,LEC,"MEHRA, G.",8,3,0,0,2,0,0,0,3.04
2021-22,0,Summer,0,0,0,37010,A,INTRO SOFTWARE ENGR,LEC,"ZIV, H.",54,7,3,2,1,0,0,0,3.64
2021-22,0,Summer,0,0,0,37050,A,CONCEPT PGMG LANG I,LEC,"ALFARO, S.",6,3,2,0,0,0,0,0,3.26
2021-22,0,Summer,0,0,0,37060,A,HUMAN CMPTR INTRACT,LEC,"WOLF, C.",34,8,0,0,0,1,0,0,3.82
2021-22,0,Summer,0,0,0,36510,A,BOOL LOG & DISC STR,LEC,"HAYES, W.",10,8,8,1,0,1,1,0,2.96
2021-22,0,Summer,0,0,0,36520,B,BOOL LOG & DISC STR,LEC,"BIC, L.",49,13,2,0,1,1,1,0,3.65
2021-22,0,Summer,0,0,0,36530,A,COMP LINEAR ALGEBRA,LEC,MEENAKSHISUNDARAM.,15,6,1,1,2,1,2,0,3.18
2021-22,0,Summer,0,0,0,36540,A,INTRO TO PROGRMMING,LEC,"HARRIS, I.",40,17,8,1,5,10,6,0,3.15
2021-22,0,Summer,0,0,0,36550,A,PROG SOFTWARE LIBR,LEC,"BALDWIN, M.",27,9,1,4,10,3,1,0,2.73
2021-22,0,Summer,0,0,0,36560,B,PROG SOFTWARE LIBR,LEC,"IBRAHIM, M.",0,30,15,4,3,1,1,0,2.27
2021-22,0,Summer,0,0,0,36570,A,INTERMEDIATE PRGRMG,LEC,"KLOTZMAN, V.",37,0,0,0,0,0,0,0,3.99
2021-22,0,Summer,0,0,0,36580,A,PROGRAM IN C/C++,LEC,"IBRAHIM, M.",52,4,1,0,6,1,1,0,3.49
2021-22,0,Summer,0,0,0,36590,A,INTRO COMPUTER ORG,LEC,"NICOLAU, A.",100,5,1,0,3,0,0,0,3.82
2021-22,0,Summer,0,0,0,36600,A,CMP GAMES & SOCIETY,LEC,"GARDNER, R.",15,0,0,0,2,0,0,0,3.53
2021-22,0,Summer,0,0,0,36610,A,CRITICAL WRITING,LEC,"KAY, D.",28,9,0,1,0,2,0,0,3.63
2021-22,0,Summer,0,0,0,36620,B,CRITICAL WRITING,LEC,"ALFARO, S.",27,6,3,0,0,1,0,0,3.63
2021-22,0,Summer,0,0,0,36630,C,CRITICAL WRITING,LEC,"CHRISTENSEN, M.",38,2,0,0,0,1,0,0,3.79
2021-22,0,Summer,0,0,0,36640,D,CRITICAL WRITING,LEC,"IBRAHIM, M.",24,8,3,2,2,2,0,0,3.26
2021-22,0,Summer,0,0,0,36701,B,INDUS/PBLC FLD STDY,FLD,MEENAKSHISUNDARAM.,0,0,0,0,0,10,0,0,
2021-22,0,Summer,0,0,0,64010,A,INTRO GLOBAL STUDY,LEC,"MCCARTY, P.",94,6,0,1,3,2,0,0,3.8
2021-22,0,Summer,0,0,0,64020,B,INTRO GLOBAL STUDY,LEC,"MCCARTY, P.",86,11,3,1,2,2,1,0,3.7
2021-22,0,Summer,0,0,0,64030,A,GLOBAL CULTURES&SOC,LEC,"DARIAN-SMITH, E.",18,1,0,0,1,1,0,0,3.72
2021-22,0,Summer,0,0,0,64040,B,GLOBAL CULTURES&SOC,LEC,"DARIAN-SMITH, E.",23,0,0,0,0,0,0,0,3.97
2021-22,0,Summer,0,0,0,64070,A,INTRO INTL RELATNS,LEC,"PETROVIC, B.",6,3,0,0,0,2,0,0,3.67
2021-22,0,Summer,0,0,0,64080,A,GLOBAL ENVIRONMENTS,LEC,"MCCARTY, P.",35,2,0,0,0,0,0,0,3.9
2021-22,0,Summer,0,0,0,64090,A,GLBL POV & INEQULTY,LEC,"MATTHEW, R.",12,2,0,0,0,0,0,0,3.81
2021-22,0,Summer,0,0,0,64120,A,TRANSNATIONAL GANGS,LEC,"VALDEZ, A.",22,3,0,0,0,1,0,0,3.87
2021-22,0,Summer,0,0,0,64170,A,GLOBL INEQUALITIES,LEC,"BUI, L.",50,4,4,0,1,1,0,0,3.67
2021-22,0,Summer,0,0,0,64190,A,GLOBAL & INTL FORUM,LEC,"DARIAN-SMITH, E.",24,1,0,0,0,0,0,0,3.95
2021-22,0,Summer,0,0,0,64200,B,GLOBAL & INTL FORUM,LEC,"DARIAN-SMITH, E.",24,3,1,0,1,0,0,0,3.68
2021-22,0,Summer,0,0,0,28810,A,ITALIAN CINEMA,LEC,"DI MAIO, F.",13,0,0,0,1,3,0,0,3.69
2021-22,0,Summer,0,0,0,28910,A,FUNDAMENTALS,LEC,"SITHIAMNUAI, E.",11,8,2,0,0,2,0,0,3.51
2021-22,0,Summer,0,0,0,28920,A,FUNDAMENTALS,LEC,"RIGGS, H.",9,4,4,0,0,4,0,0,3.35
2021-22,0,Summer,0,0,0,28930,A,INTERMEDIATE,LEC,"FLORES, R.",4,4,5,0,0,3,0,0,2.92
2021-22,0,Summer,0,0,0,28940,A,INTERMEDIATE,LEC,"NAGAI, A.",3,6,5,0,0,0,1,0,2.9
2021-22,0,Summer,0,0,0,29310,A,FUNDAMENTALS,LEC,"HYUN, H.",9,3,3,0,0,2,0,0,3.32
2021-22,0,Summer,0,0,0,29320,A,FUNDAMENTALS,LEC,"LEE, Y.",9,1,0,0,1,1,0,0,3.38
2021-22,0,Summer,0,0,0,65030,A,INTRO TO LINGUIS,LEC,"MIS, B.",8,3,2,1,1,1,0,0,3.01
